City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Eufaula,US,2021-09-08 13:03:41,31.8913,-85.1455,75.85,98,100,4.32
1,Mataura,NZ,2021-09-08 13:03:41,-46.1927,168.8643,43.48,83,100,10.29
2,Filingue,NE,2021-09-08 13:03:41,14.3521,3.3168,92.93,39,69,12.75
3,Saint George,US,2021-09-08 12:58:51,37.1041,-113.5841,74.53,14,0,4.09
4,Yellowknife,CA,2021-09-08 13:01:40,62.456,-114.3525,43.95,82,100,4.83
5,Ushuaia,AR,2021-09-08 13:03:42,-54.8,-68.3,53.22,62,100,4.61
6,Cape Town,ZA,2021-09-08 12:59:52,-33.9258,18.4232,66.11,63,0,14.97
7,Mahebourg,MU,2021-09-08 13:01:14,-20.4081,57.7,73.26,67,34,16.28
8,Ribeira Grande,PT,2021-09-08 13:03:42,38.5167,-28.7,73.8,78,75,5.75
9,Dingle,PH,2021-09-08 13:03:42,10.9995,122.6711,75.52,91,100,5.48
10,Road Town,VG,2021-09-08 13:00:09,18.4167,-64.6167,87.21,75,94,6.51
11,Ryotsu,JP,2021-09-08 13:03:43,38.0833,138.4333,70.34,87,94,9.98
12,Quatre Cocos,MU,2021-09-08 13:03:43,-20.2078,57.7625,73.09,68,33,16.2
13,Punta Arenas,CL,2021-09-08 13:03:43,-53.15,-70.9167,48.31,66,75,12.66
14,Jamestown,US,2021-09-08 12:59:47,42.097,-79.2353,66.09,88,100,4.0
15,Vaini,TO,2021-09-08 13:03:44,-21.2,-175.2,75.36,94,75,8.05
16,Tura,IN,2021-09-08 13:03:44,25.5198,90.2201,75.11,94,98,2.57
17,Khatanga,RU,2021-09-08 13:03:44,71.9667,102.5,53.37,77,82,9.64
18,Lagoa,PT,2021-09-08 13:03:44,39.05,-27.9833,70.54,85,89,12.15
19,Hasaki,JP,2021-09-08 13:03:45,35.7333,140.8333,70.2,79,100,15.37
20,Sao Felix Do Xingu,BR,2021-09-08 13:00:58,-6.6447,-51.995,87.96,53,9,4.18
21,Cheltenham,GB,2021-09-08 13:01:51,51.9,-2.0833,86.99,36,0,7.0
22,Hermanus,ZA,2021-09-08 13:03:45,-34.4187,19.2345,65.89,66,73,6.89
23,Casimiro De Abreu,BR,2021-09-08 13:03:45,-22.4806,-42.2042,73.2,56,25,7.27
24,Carnarvon,AU,2021-09-08 13:03:46,-24.8667,113.6333,66.27,88,0,5.75
25,Vila Velha,BR,2021-09-08 13:00:42,-20.3297,-40.2925,72.37,73,100,7.67
26,Avarua,CK,2021-09-08 13:03:46,-21.2078,-159.775,75.25,88,75,14.97
27,Lebu,CL,2021-09-08 13:03:46,-37.6167,-73.65,48.74,74,0,5.46
28,Broome,US,2021-09-08 13:03:47,42.2506,-75.833,71.02,75,79,1.01
29,New Norfolk,AU,2021-09-08 13:03:47,-42.7826,147.0587,56.7,60,72,4.0
30,Narsaq,GL,2021-09-08 13:03:12,60.9167,-46.05,48.42,57,84,4.05
31,Provideniya,RU,2021-09-08 13:03:47,64.3833,-173.3,39.87,87,100,6.13
32,Barrow,US,2021-09-08 13:03:47,71.2906,-156.7887,41.02,87,90,10.36
